ID,Type,Name,Jursidiction,Region,Cluster,Jurisdiction Groups,Year Start,Year End,Name Status,Name Change Year,Number of name changes,Additional types,Central node,Note,Source,Source 2,Source 3,Longitude,Latitude
84,Individual,Eddy Shalev ,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,"Former Mossad intelligence operative Niv; Niv tech, Shalev and Omrie business, Eddy Shalev investor ",https://www.vice.com/en/article/wnxpjm/nso-group-new-big-player-in-government-spyware,,,,
85,Individual,Shiri Dolev,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,Becomes president of NSO. 2014 is year of great NSO expansion. goes from small entity to large rapidly over the next few years ,https://theintercept.com/2024/01/18/israel-nso-group-shalev-hulio-dream-security/,,,,
86,Individual,Gilad Sahar,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,"NSO Group is acquiring Convexum Ltd., a Tel Aviv startup developing counter-drone technologies; founder of Convexum Ltd.","https://www.calcalistech.com/ctech/articles/0,7340,L-3792634,00.html",,,,
87,Individual,Niv Magen,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,"NSO Group is acquiring Convexum Ltd., a Tel Aviv startup developing counter-drone technologies; founder of Convexum Ltd.","https://www.calcalistech.com/ctech/articles/0,7340,L-3792634,00.html",,,,
88,Individual,Tom Gol,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,"NSO Group is acquiring Convexum Ltd., a Tel Aviv startup developing counter-drone technologies; founder of Convexum Ltd.","https://www.calcalistech.com/ctech/articles/0,7340,L-3792634,00.html",,,,
89,Individual,Individual,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,,https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=8,,,,
90,Individual,Yaron Shohat,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,New CEO of NSO 2023,https://www.washingtonpost.com/politics/2023/05/30/nso-group-under-new-ownership-reports-about-hacks-continue/,,,,
91,Individual,Individual,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,,https://www.bloomberg.com/news/features/2021-01-26/private-equity-firm-francisco-partners-profits-from-surveillance-censorship,,,,
92,Individual,Individual,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,,https://www.bloomberg.com/news/features/2021-01-26/private-equity-firm-francisco-partners-profits-from-surveillance-censorship,,,,
93,Individual,Stefan Kowskin,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,European private equity firm that invested NSO Group in 2019; co-founder of Novalpina Capital. ,https://www.theguardian.com/business/2021/mar/30/financiers-behind-nso-group-struggle-control-equity-fund,https://www.businesswire.com/news/home/20221103005752/en/NOAL-GP-Luxembourg-Judge-Rejects-Novalpina%E2%80%99s-Attempt-to-Interfere-With-Decision-making-at-NOAL-Fund-Confirms-Existence-of-Criminal-Complaint-Against-Novalpina-Personnel-and-Key-Advisor,,,
94,Individual,Bastian Lueken ,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,European private equity firm that invested NSO Group in 2019; co-founder of Novalpina Capital. ,https://www.theguardian.com/business/2021/mar/30/financiers-behind-nso-group-struggle-control-equity-fund,https://www.businesswire.com/news/home/20221103005752/en/NOAL-GP-Luxembourg-Judge-Rejects-Novalpina%E2%80%99s-Attempt-to-Interfere-With-Decision-making-at-NOAL-Fund-Confirms-Existence-of-Criminal-Complaint-Against-Novalpina-Personnel-and-Key-Advisor,,,
95,Individual,Stephen Peel ,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,European private equity firm that invested NSO Group in 2019; co-founder of Novalpina Capital. ,https://www.theguardian.com/business/2021/mar/30/financiers-behind-nso-group-struggle-control-equity-fund,https://www.businesswire.com/news/home/20221103005752/en/NOAL-GP-Luxembourg-Judge-Rejects-Novalpina%E2%80%99s-Attempt-to-Interfere-With-Decision-making-at-NOAL-Fund-Confirms-Existence-of-Criminal-Complaint-Against-Novalpina-Personnel-and-Key-Advisor,,,
96,Individual,Individual,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,,https://www.theguardian.com/business/2021/mar/30/financiers-behind-nso-group-struggle-control-equity-fund,https://www.businesswire.com/news/home/20221103005752/en/NOAL-GP-Luxembourg-Judge-Rejects-Novalpina%E2%80%99s-Attempt-to-Interfere-With-Decision-making-at-NOAL-Fund-Confirms-Existence-of-Criminal-Complaint-Against-Novalpina-Personnel-and-Key-Advisor,,,
97,Vendor,Interionet Systems Ltd,Israel,Middle East and North Africa,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://finder.startupnationcentral.org/company_page/interionet-systems,https://www.crunchbase.com/organization/interionet-5cdb,https://www.datanyze.com/companies/interionet/481395181,35.2035,31.7717
98,Individual,Yair Pecht,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,Yair: Co-Founder and CEO = former MD/CEO of NSO Group,https://www.crunchbase.com/organization/interionet-5cdb/people,https://pitchbook.com/profiles/company/458166-97,"https://www.intelligenceonline.com/surveillance--interception/2019/05/14/interionet-former-nso-team-s-new-offensive-cyber-firm,108357090-art",,
99,Individual,Sharon Oknin,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,Sharon: Co-Founder and CTO = former VP of NSO,https://www.crunchbase.com/organization/interionet-5cdb/people,https://pitchbook.com/profiles/company/458166-98,"https://www.intelligenceonline.com/surveillance--interception/2019/05/14/interionet-former-nso-team-s-new-offensive-cyber-firm,108357090-art",,
100,Individual,Joshua Lesher,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,Board member/ former NSO group board member. Now sits on Interionet's board,https://archive.is/MtUPB,https://www.ivc-online.com/Home/Advanced-Search/Search-Results?sb-inst=1516&sb-search=interionet ,"https://www.northdata.com/Interionet+Systems+Ltd.,+Herzliya/ICA-515347425",,
101,Individual,David Fischler,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,"Leading Interionet's European sales strategy, former NSO Group regional sales director","https://www.intelligenceonline.com/surveillance--interception/2023/03/23/dream-poaches-from-tenable-sat-distributes-kaymera-fischler-at-interionet-boeing-upheld-for-dia-contract,109926917-art",https://opencorporates.com/companies/il/515347425,https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=8,,
102,Investor,Net Capital Ventures,Israel,Middle East and North Africa,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://pitchbook.com/profiles/company/458166-97#signals,https://tracxn.com/d/companies/interionet/__PHIFsi07PlqeKkgPNDOJG0NSsYsIAWaNhwW7nA_a2vc,,35.2035,31.7717
103,Investor,NME Investments Limited,British Virgin Islands,Latin America and Caribbean,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,Options holder,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347425,https://offshoreleaks.icij.org/nodes/10082493,https://www.datocapital.vg/companies/Nme-Investments-Ltd.html,-64.623056,18.431389
104,Investor,Mikael Ltd.,United Kingdom,Europe and Eurasia,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,Mikael Jan Ake Andersson; Options holder,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347426,https://find-and-update.company-information.service.gov.uk/company/07174942,https://find-and-update.company-information.service.gov.uk/company/07174942/officers,-0.126236,51.5002
105,Investor,Altshuler Shaham Trusts Ltd.,Israel,Middle East and North Africa,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,"Alexander Aurovsky, Anatoly Khurgin, Yair Lowenstein; Options holder",https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347427,https://pitchbook.com/profiles/company/484449-40#overview,https://www.sec.gov/Archives/edgar/data/1652866/000121390022010244/ea156263ex99-2_abilityinc.htm,35.2035,31.7717
106,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347427,,,,
107,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347427,,,,
108,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347427,,,,
109,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347428,,,,
110,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347429,,,,
111,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347430,,,,
112,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347431,,,,
113,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347432,,,,
114,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347433,,,,
115,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347434,,,,
116,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347435,,,,
117,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347436,,,,
118,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347437,,,,
119,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347438,,,,
120,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347439,,,,
121,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347440,,,,
122,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347441,,,,
123,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347442,,,,
124,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347427,,,,
125,Individual,Individual,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
126,Individual,Individual,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
127,Individual,Individual,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
128,Individual,Individual,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
129,Individual,Individual,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
130,Individual,Individual,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
131,Individual,Ya’acov Weitzman ,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,Founders of Candiru ,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
132,Individual,Eran Shorer ,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,Founders of Candiru ,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
133,Individual,Individual,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
134,Individual,Individual,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,,
135,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347427,https://pitchbook.com/profiles/company/484449-40#overview,https://www.sec.gov/Archives/edgar/data/1652866/000121390022010244/ea156263ex99-2_abilityinc.htm,,
136,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347427,https://pitchbook.com/profiles/company/484449-40#overview,https://www.sec.gov/Archives/edgar/data/1652866/000121390022010244/ea156263ex99-2_abilityinc.htm,,
137,Investor,Individual Investor,,,Interionet,Israel,2015,2023,Unchanged,,,,Interionet Systems Ltd,,https://en.checkid.co.il/company/INTERIONET+SYSTEMS+LTD-7G9LW6L-515347427,https://pitchbook.com/profiles/company/484449-40#overview,https://www.sec.gov/Archives/edgar/data/1652866/000121390022010244/ea156263ex99-2_abilityinc.htm,,
138,Individual,Erdinast Giora,,,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,Director Erdinast Giora is an attorney that represented NSO,https://en.checkid.co.il/company/SAITO+TECH++LTD-rMe81mK-515126605,,,,
139,Individual,Karen Jean Seymour ,,,Gamma Group,None,2007,2023,Unchanged,,,,Gamma Group International SAL ,Involved in Gamma Group Investment base. Family members.,https://find-and-update.company-information.service.gov.uk/company/03684793,https://www.theguardian.com/uk/2012/nov/28/offshore-company-directors-military-intelligence,,,
140,Individual,William Louthean Nelson ,,,Gamma Group,None,2007,2023,Unchanged,,,,Gamma Group International SAL ,Involved in Gamma Group Investment base. Family members.,https://find-and-update.company-information.service.gov.uk/company/03684793,https://www.theguardian.com/uk/2012/nov/28/offshore-company-directors-military-intelligence,,,
141,Individual,John Hadjicostas,,,Gamma Group,None,2007,2023,Unchanged,,,,Gamma Group International SAL ,Appointed Director of Gamma International (UK) Limited in 2011,https://find-and-update.company-information.service.gov.uk/company/06343869,,,,
142,Individual,Individual,,,Gamma Group,None,2007,2023,Unchanged,,,,Gamma Group International SAL ,,"https://www.northdata.com/AURELIUS+Gamma+International+GmbH,+Gr%C3%BCnwald/Amtsgericht+M%C3%BCnchen+HRB+208586",,,,
143,Individual,Individual,,,Gamma Group,None,2007,2023,Unchanged,,,,Gamma Group International SAL ,,"https://www.northdata.com/AURELIUS+Gamma+International+GmbH,+Gr%C3%BCnwald/Amtsgericht+M%C3%BCnchen+HRB+208586",,,,
144,Individual,Tal Dilian,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,"Founder of Intellexa S.A., WS WiSpear, Circles Solutions",https://opencorporates.com/companies/cy/HE318328/events,https://home.treasury.gov/news/press-releases/jy2155,https://dfrlab.org/2024/04/22/markets-matter-a-glance-into-the-spyware-industry/,,
145,Individual,Georgios Georgioy ,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,"Majority stakeholder in Cytrox; Founded in 2013 by Tal Dilian; Board Members: Tiannis Peslikas, Nansia Koutsou, Stella Franzti, Castinental LTD, Mivtah Shamir Technologies (2000) LTD, and Comform Trustee Services LTD ",https://opencorporates.com/companies/cy/HE318328/events,https://www.alphanews.live/cyprus/diktyo-etaireion-piso-apo-kataskopeytiko-ban-sti-larnaka-binteofoto,,,
146,Individual,Rotem Farkash,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,Cytrox AD Founded by Rotem Farkash and Abraham Rubinstein. ,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,,,,
147,Individual,Abraham Rubinstein,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,Cytrox AD Founded by Rotem Farkash and Abraham Rubinstein. ,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,,,,
148,Individual,Individual,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,https://www.haaretz.com/israel-news/tech-news/2020-12-31/ty-article-magazine/.highlight/a-shady-israeli-intel-genius-his-cyber-spy-van-and-million-dollar-deals/0000017f-f21e-d497-a1ff-f29ed7c30000?lts=1700832007300,https://www.europarl.europa.eu/meetdocs/2014_2019/plmrep/COMMITTEES/PEGA/DV/2023/05-08/REPORTcompromises_EN.pdf,,
149,Individual,Individual,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,https://www.haaretz.com/israel-news/tech-news/2020-12-31/ty-article-magazine/.highlight/a-shady-israeli-intel-genius-his-cyber-spy-van-and-million-dollar-deals/0000017f-f21e-d497-a1ff-f29ed7c30000?lts=1700832007300,https://www.europarl.europa.eu/meetdocs/2014_2019/plmrep/COMMITTEES/PEGA/DV/2023/05-08/REPORTcompromises_EN.pdf,,
150,Individual,Individual,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,https://www.haaretz.com/israel-news/tech-news/2020-12-31/ty-article-magazine/.highlight/a-shady-israeli-intel-genius-his-cyber-spy-van-and-million-dollar-deals/0000017f-f21e-d497-a1ff-f29ed7c30000?lts=1700832007300,https://www.europarl.europa.eu/meetdocs/2014_2019/plmrep/COMMITTEES/PEGA/DV/2023/05-08/REPORTcompromises_EN.pdf,,
151,Individual,Individual,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,,https://opencorporates.com/companies/il/515693893/events,https://citizenlab.ca/2021/12/pegasus-vs-predator-dissidents-doubly-infected-iphone-reveals-cytrox-mercenary-spyware/,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,,
152,Individual,Sara Hamou,,,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,Potentially ex-wife of Tal Dilian; Thaletris LTD in Ireland involvement,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,https://home.treasury.gov/news/press-releases/jy2155,,,
153,Holding Company,Intellexa Ltd (British Virgin Islands),,,Intellexa Consortium,None,2017,2023,Unchanged,,,,Intellexa S.A.,,https://www.datocapital.vg/companies/Intellexa-Ltd.html,,,,
154,Holding Company,Intellexa Ltd (Ireland),,,Intellexa Consortium,None,2020,2022,Unchanged,,,,Intellexa S.A.,,https://www.dnb.com/business-directory/company-profiles.intellexa_limited.661ff95d36c75c6d541d44c8f09a27ff.html,,,,
155,Individual,David Vincenzetti,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://www.crunchbase.com/organization/hackingteam ,,,,
156,Individual,Valeriano Bedeschi,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://www.crunchbase.com/organization/hackingteam ,,,,
157,Individual,Individual,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://wikileaks.org/hackingteam/emails/emailid/149645,https://tsyrklevich.net/2015/07/22/hacking-team-0day-market/,,,
158,Individual,Individual,,,VasTech,None,1999,2023,Unchanged,,,,VASTech,,https://wikileaks.org/hackingteam/emails/emailid/170245,,,,
159,Individual,Individual,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://wikileaks.org/hackingteam/emails/emailid/170246,,,,
160,Individual,Individual,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://www.vice.com/en/article/3dad3n/the-vigilante-who-hacked-hacking-team-explains-how-he-did-it,https://wikileaks.org/hackingteam/emails/emailid/1064489,,,
161,Individual,Individual,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://www.vice.com/en/article/bj54kw/grey-heron-new-spyware-brochure-hacking-team,,,,
162,Individual,Abdullah Al-Qahtani,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,Director of Tablem Limited; Investor in Hacking Team shares post 2015 hack-and-leak; some linked Saudi involvement,https://www.vice.com/en/article/8xvzyp/hacking-team-investor-saudi-arabia,,,,
163,Individual,Khalid Al-Thebity,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,Representative of Tablem Limited; Investor in Hacking Team shares post 2015 hack-and-leak; some linked Saudi involvement,https://www.vice.com/en/article/8xvzyp/hacking-team-investor-saudi-arabia,,,,
164,Individual,Paulo Lezzi,,,Memento Labs Srl,Italy,2003,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,"Paulo Lezzi, President of Memento Labs, CEO and founder of InTheCyber; important to Lezzi that this remain ""an Italian company with Italian talent""",https://opencorporates.com/companies/ch/1231005,https://www.technologyreview.com/2019/11/29/131803/the-fall-and-rise-of-a-spyware-empire/,,,
165,Partner,Serpikom SAS ,France,Europe and Eurasia,Intellexa Consortium,None,2016,2023,Unchanged,,,,Nexa Technologies > RB 42,"In 2016, Nexa Technologies acquired Serpikom. Serpikom specialzies in ELINT and satellite interception technologies ","https://www.northdata.com/Serpikom+SAS,+Aix-en-Provence/Siren+492531371",https://s3.documentcloud.org/documents/21116576/project-cerebro-nexa-technologies.pdf,https://opencorporates.com/companies/fr/492531371,2.35097,48.8566
166,Partner,VASTech ME,United Arab Emirates,Middle East and North Africa,VasTech,None,2008,2015,Unchanged,,,,VASTech,,https://respubca.home.xs4all.nl/pdf/J-LA-001-VT-01-LA-VASTech-profile-2.pdf,https://privacyinternational.org/sites/default/files/2017-12/OpenSeason_0.pdf,,54.3705,24.4764
167,Partner,VASTech SPC,Oman,Middle East and North Africa,VasTech,None,2011,2011,Unchanged,,,,VASTech,,https://ems.peie.om/newDir/TenantDetails.aspx?lang=&tid=10943&eid=8,,,58.5874,23.6105
168,Partner,VASTech AG,Switzerland,Europe and Eurasia,VasTech,None,2013,2023,Unchanged,,,,VASTech,,"https://www.northdata.com/VASTech+AG,+Malans/CHE-208.244.682",,,7.44821,46.948
169,Individual,Individual,,,VasTech,None,1999,2023,Unchanged,,,,VASTech,,https://privacyinternational.org/sites/default/files/2017-12/OpenSeason_0.pdf,,,,
170,Individual,Frans Dreyer ,,,VasTech,None,1999,2023,Unchanged,,,,VASTech,Founder and CEO,https://respubca.home.xs4all.nl/pdf/J-LA-001-VT-01-LA-VASTech-profile-2.pdf,https://opencorporates.com/companies/za/1999-020890-07,,,
171,Individual,Peter Habertheuer ,,,VasTech,None,1999,2023,Unchanged,,,,VASTech,President,"https://www.northdata.com/VASTech+AG,+Malans/CHE-208.244.682",,,,
172,Individual,Individual,,,VasTech,None,1999,2023,Unchanged,,,,VASTech,,https://wikileaks.org/hackingteam/emails/emailid/12014,,,,
173,Individual,Divian Emmanuel Dreyer ,,,VasTech,None,1999,2023,Unchanged,,,,VASTech,Divian Emmanuel Dreyer takes over as President from Peter Habertheuer,"https://www.northdata.com/VASTech+AG,+Malans/CHE-208.244.682",,,,
174,Investor,South African Government - Department of Trade and Industry,South Africa,Sub-Saharan Africa,VasTech,None,2002,2013,Unchanged,,,,VASTech,"In 2002, it concluded its first major contract worth R2.4 million with an international client, and became an original equipment manufacturing supplier to Siemens, in Germany.
Government awarded R1.3-million (south african rand) for VASTech’s Zebra E128 software system in 2005.
in 2010, it approved R2.69-million for “Project Next”, the details of which are unknown.
South African government money is still going to the surveillance company for a previously unknown software program, called “Next”.",https://www.itweb.co.za/article/condolences-pour-in-for-vastech-founder/KPNG8v8XRVgv4mwD,https://mg.co.za/article/2013-11-22-dti-funded-gaddafi-spyware/,https://www.unwantedwitness.org/south-african-government-still-funding-vastech-knows-previous-financing-was-for-mass-surveillance/,28.1871,-25.746
175,Individual,Guy Geva,,,Quadream Inc; InReach Technologies Limited,Israel,2016,2023,Unchanged,,,,Quadream,Founder; former NSO Employee,https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=8,https://opencorporates.com/companies/il/515397651,,,
176,Individual,Nimrod Reznik ,,,Quadream Inc; InReach Technologies Limited,Israel,2016,2023,Unchanged,,,,Quadream,Founder; former NSO Employee,https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=9,https://opencorporates.com/companies/il/515397652,,,
177,Individual,Ilan Dabelstein,,,Quadream Inc; InReach Technologies Limited,Israel,2016,2023,Unchanged,,,,Quadream,Former NSO Employee,https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=10,https://opencorporates.com/companies/il/515397653,,,
